,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
159,naiveBayes,breastCancer,python,train,0.0038823604583739734,4.6778199849305336e-08,1.0161046756498941e-08,2.632391760556271e-06,42.5,4.402002802601568e-08
160,naiveBayes,iris,R,test,0.007977183659871373,9.875689060599718e-08,2.2338413627514136e-08,2.800390209103979e-06,42.5,9.255299413645711e-08
161,naiveBayes,iris,R,train,0.008662939071655227,1.0712956499170375e-07,2.4232279082863424e-08,2.797420311136761e-06,42.5,1.004005582244308e-07
162,naiveBayes,iris,cpp,test,0.0016746291997453934,1.9953269696644487e-08,5.699360225912144e-09,3.5316355383161654e-06,42.5,1.8795625002338868e-08
163,naiveBayes,iris,cpp,train,0.0006950306330205501,7.66631784302229e-09,2.366617389106755e-09,3.486623683032741e-06,42.5,7.298898843112478e-09
164,naiveBayes,iris,java,test,0.0009680350621540833,1.143148320692557e-08,2.202791488016776e-09,2.405901810972517e-06,42.5,1.0870888277336405e-08
165,naiveBayes,iris,java,train,0.0009819269180297333,1.1654054677044905e-08,2.506736869862758e-09,2.590929055797764e-06,42.5,1.1070260295161496e-08
166,naiveBayes,iris,matlab,test,0.01581813494364416,1.982659333282047e-07,4.484696105510659e-08,2.833792339612462e-06,42.5,1.8541456924544444e-07
167,naiveBayes,iris,matlab,train,0.03310788472493485,4.172471342263399e-07,8.78405454075412e-08,2.6623464734585644e-06,42.5,3.8992362993734855e-07
168,naiveBayes,iris,python,test,0.002125120162963817,2.4234910806020104e-08,5.04611584063622e-09,2.3989858626644118e-06,42.5,2.300537294811673e-08
169,naiveBayes,iris,python,train,0.00369771321614578,4.444099797142877e-08,9.70015914494614e-09,2.62935551025627e-06,42.5,4.1858553886413584e-08
